objectid,cl,logradouro,codbairro,bairro,total_transações,uso,principais_tipologias,média_percentual_transferido,média_área_construída,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,cd_utilizacao,mês_transação
14469361,031773,RUA COMTE RUBENS SILVA,120,Freguesia (Jacarepaguá)   ,2,RESIDENCIAL,APARTAMENTO,100,72,226822.685,226822.685,COMPRA E VENDA,2012,01,2
14469362,031773,RUA COMTE RUBENS SILVA,120,Freguesia (Jacarepaguá)   ,4,RESIDENCIAL,APARTAMENTO,100,101,357710.72,357710.72,COMPRA E VENDA,2012,01,5
14469363,031773,RUA COMTE RUBENS SILVA,120,Freguesia (Jacarepaguá)   ,4,RESIDENCIAL,APARTAMENTO,100,114,367367.98,367367.98,COMPRA E VENDA,2012,01,8
14469364,031773,RUA COMTE RUBENS SILVA,120,Freguesia (Jacarepaguá)   ,6,RESIDENCIAL,APARTAMENTO,100,91,306776.065,306776.065,COMPRA E VENDA,2012,01,11
14469365,033902,ETR DO PAU FERRO,120,Freguesia (Jacarepaguá)   ,3,RESIDENCIAL,APARTAMENTO,100,77,291798.32,291798.32,COMPRA E VENDA,2012,01,3
14469366,033902,ETR DO PAU FERRO,120,Freguesia (Jacarepaguá)   ,5,RESIDENCIAL,APARTAMENTO,100,92.8,372780.84,372780.84,COMPRA E VENDA,2012,01,6
14469367,033902,ETR DO PAU FERRO,120,Freguesia (Jacarepaguá)   ,5,RESIDENCIAL,APARTAMENTO,90,96,352676.378,378335.884,COMPRA E VENDA,2012,01,9
14469368,033902,ETR DO PAU FERRO,120,Freguesia (Jacarepaguá)   ,3,RESIDENCIAL,CASA,70.833333,145.333333,293574.466666,376726.23,COMPRA E VENDA,2012,01,10
14469369,034785,RUA ALCIDES LIMA,120,Freguesia (Jacarepaguá)   ,2,RESIDENCIAL,APARTAMENTO,100,105,304105.835,304105.835,COMPRA E VENDA,2012,01,1
14469370,038232,RUA ZOROASTRO PAMPLONA,120,Freguesia (Jacarepaguá)   ,3,RESIDENCIAL,CASA,100,96,178389.95,178389.95,COMPRA E VENDA,2012,01,5
14469371,038489,RUA GEMINIANO GOIS,120,Freguesia (Jacarepaguá)   ,4,RESIDENCIAL,APARTAMENTO,100,76,230974.31,230974.31,COMPRA E VENDA,2012,01,4
14469372,038489,RUA GEMINIANO GOIS,120,Freguesia (Jacarepaguá)   ,5,RESIDENCIAL,APARTAMENTO,100,103.8,400954.91,400954.91,COMPRA E VENDA,2012,01,7
14469373,038489,RUA GEMINIANO GOIS,120,Freguesia (Jacarepaguá)   ,9,RESIDENCIAL,APARTAMENTO,100,73.222222,265615.988888,265615.988888,COMPRA E VENDA,2012,01,10
14469374,040931,ETR DOS TRES RIOS,120,Freguesia (Jacarepaguá)   ,25,RESIDENCIAL,APARTAMENTO,100,69.48,250859.2512,250859.2512,COMPRA E VENDA,2012,01,7
14469375,040931,ETR DOS TRES RIOS,120,Freguesia (Jacarepaguá)   ,15,RESIDENCIAL,APARTAMENTO,100,92.4,349013.262,349013.262,COMPRA E VENDA,2012,01,10
14469376,040931,ETR DOS TRES RIOS,120,Freguesia (Jacarepaguá)   ,2,RESIDENCIAL,APARTAMENTO (PROLETARIO),100,48.5,80040.95,80040.95,COMPRA E VENDA,2012,01,4
14469377,032268,RUA JOAQUIM TOURINHO,121,Pechincha                 ,2,RESIDENCIAL,APARTAMENTO,100,87,239714.495,239714.495,COMPRA E VENDA,2012,01,7
14469378,033902,ETR DO PAU FERRO,121,Pechincha                 ,21,RESIDENCIAL,APARTAMENTO,100,70.761904,249507.161428,249507.161428,COMPRA E VENDA,2012,01,1
